Ticker,Price,PxChange,Date
3436.T,1745,-0.34,2019-11-15
3436.T,1751,0.92,2019-11-14
3436.T,1735,-1.25,2019-11-13
3436.T,1757,-0.28,2019-11-12
3436.T,1762,-0.45,2019-11-11
4502.T,4456,1.92,2019-11-15
4502.T,4372,0.05,2019-11-14
4502.T,4370,1.56,2019-11-13
4502.T,4303,-0.37,2019-11-12
4502.T,4319,-1.35,2019-11-11
5301.T,1079,-1.19,2019-11-15
5301.T,1092,-0.55,2019-11-14
5301.T,1098,-0.45,2019-11-13
5301.T,1103,3.08,2019-11-12
5301.T,1070,0.28,2019-11-11
6098.T,3787,0.77,2019-11-15
6098.T,3758,1.95,2019-11-14
6098.T,3686,-1.97,2019-11-13
6098.T,3760,0.75,2019-11-12
6098.T,3732,-1.27,2019-11-11
9984.T,4260,-0.68,2019-11-15
9984.T,4289,0.28,2019-11-14
9984.T,4277,0.07,2019-11-13
9984.T,4274,-0.6,2019-11-12
9984.T,4300,-1.01,2019-11-11
AAPL,265.76,1.19,2019-11-15
AAPL,262.64,-0.69,2019-11-14
AAPL,264.47,0.96,2019-11-13
AAPL,261.96,-0.09,2019-11-12
AAPL,262.2,0.79,2019-11-11
AAPL,260.14,574.64,2019-11-08
AMD,38.56,0.55,2019-11-15
AMD,38.35,2.21,2019-11-14
AMD,37.52,2.21,2019-11-13
AMD,36.71,1.1,2019-11-12
AMD,36.31,0.06,2019-11-11
CSCO,45.09,0.4,2019-11-15
CSCO,44.91,-7.33,2019-11-14
CSCO,48.46,0.19,2019-11-13
CSCO,48.37,0.56,2019-11-12
CSCO,48.1,-1.49,2019-11-11
INTC,57.96,0.26,2019-11-15
INTC,57.81,-0.14,2019-11-14
INTC,57.89,-0.53,2019-11-13
INTC,58.2,-0.26,2019-11-12
INTC,58.35,0.14,2019-11-11
MSFT,149.97,1.29,2019-11-15
MSFT,148.06,0.51,2019-11-14
MSFT,147.31,0.16,2019-11-13
MSFT,147.07,0.66,2019-11-12
MSFT,146.11,0.1,2019-11-11
